"Candidat", "Dépenses totales", "Recettes totales", "Dons", "Apports partis", "Concours en nature", "Autres", "Apports personnel", "Soldes compte de campagne", "Dév (1)", "RFE (2)", "Déc. CNCCFP", "Circoncription", "Plafond de dépenses", "Remboursement maximum", "Scrutin"
"M. AVINIERE Pierre","687","687","0","0","0","0","687","0","0","0","A","Ain - 1","65 509","32 755 €","Scrutin non contesté"
"M. BRETON Xavier","41 760/32 848","41 760/35 376","24 881/24 881","9 700/9 700","0/0","795/795","6 384/0","0/2 528","2 528","0","AR","Ain - 1","65 509","32 755 €","Scrutin non contesté"
"Mme CATHERIN Marie-Lucienne","33 017","33 017","0","0","0","0","33 017","0","0","0","A","Ain - 1","65 509","32 755 €","Scrutin non contesté"
"M. DEBAT Jean-François","59 640","59 640","21 400","2 842","1 076","1","34 321","0","0","32 755","A","Ain - 1","65 509","32 755 €","Scrutin non contesté"
"Mme DUTHU Monique","1 212","1 212","190","0","0","0","1 022","0","0","0","A","Ain - 1","65 509","32 755 €","Scrutin non contesté"
"M. FAVRE Bernard","0","0","0","0","0","0","0","0","0","0","A","Ain - 1","65 509","32 755 €","Scrutin non contesté"
"M. FLECHON Jacques","442","442","370","0","0","0","72","0","0","0","A","Ain - 1","65 509","32 755 €","Scrutin non contesté"
"Mme GUENARD-GERBAUDCarole","1 639","1 639","956","183","0","0","500","0","0","0","A","Ain - 1","65 509","32 755 €","Scrutin non contesté"
"Mme HURET Odile","0","0","0","0","0","0","0","0","0","0","A","Ain - 1","65 509","32 755 €","Scrutin non contesté"
"M. LAHY Eric","303","445","0","418","27","0","0","142","142","0","A","Ain - 1","65 509","32 755 €","Scrutin non contesté"
"M. PARIOT Marc","12 952/15 245","12 952/15 245","630/630","0/0","0/2 293","0/0","12 322/12 322","0/0","0","12 322","AR","Ain - 1","65 509","32 755 €","Scrutin non contesté"
"M. CAGNAC Jacques","1 362","1 362","300","0","0","0","1 062","0","0","0","A","Ain - 2","68 612","34 307 €","Scrutin non contesté"
"M. CHAVET Raoul","557","557","467","0","0","0","90","0","0","0","A","Ain - 2","68 612","34 307 €","Scrutin non contesté"
"M. DAGAND Yves","912","912","0","912","0","0","0","0","0","0","A","Ain - 2","68 612","34 307 €","Scrutin non contesté"
"M. VERPILLIÈRE (DE) LA Charles","24 350/22 182","24 918/24 915","15 215/15 215","9 700/9 700","0/0","0/0","3/0","568/2 733","2 733","0","AR","Ain - 2","68 612","34 307 €","Scrutin non contesté"
"Mme LACHEISSERIE (DE) Nicole","33 998","34 000","0","0","0","0","34 000","2","0","33 998","A","Ain - 2","68 612","34 307 €","Scrutin non contesté"
"M. FERRARESE Pierre","2 459","2 459","0","1 500","0","0","959","0","0","959","A","Ain - 2","68 612","34 307 €","Scrutin non contesté"
"M. FRAY DIT BRY Michel","0","0","0","0","0","0","0","0","0","0","A","Ain - 2","68 612","34 307 €","Scrutin non contesté"
"M. LARGERON Guy","308/308","463/308","0/0","420/265","43/43","0/0","0/0","155/0","0","0","AR","Ain - 2","68 612","34 307 €","Scrutin non contesté"
"M. LEGER Bernard","0","0","0","0","0","0","0","0","0","0","A","Ain - 2","68 612","34 307 €","Scrutin non contesté"
"Mme MEUNIER Marie-Lise","0","0","0","0","0","0","0","0","0","0","A","Ain - 2","68 612","34 307 €","Scrutin non contesté"
"M. PHILIPPE Katia","1 924/1 796","1 924/1 796","20/20","0/0","0/0","0/0","1 904/1 776","0/0","0","0","AR","Ain - 2","68 612","34 307 €","Scrutin non contesté"
"Mme PIDOUX Catherine","18 767/17 970","18 767/17 970","735/735","0/0","3 614/3 614","38/38","14 380/13 583","0/0","0","13 583","AR","Ain - 2","68 612","34 307 €","Scrutin non contesté"
"M. SÉGURET Jean-Louis","0","0","0","0","0","0","0","0","0","0","A","Ain - 2","68 612","34 307 €","Scrutin non contesté"
"Mlle ALBERT Emilie","0","0","0","0","0","0","0","0","0","0","A","Ain - 3","66 609","33 305 €","Scrutin non contesté"
"M. BAILLY Luc","15","15","0","15","0","0","0","0","0","0","A","Ain - 3","66 609","33 305 €","Scrutin non contesté"
"M. BLANC Etienne","49 428","61 449","24 749","9 700","0","0","27 000","12 021","0","14 979","A","Ain - 3","66 609","33 305 €","Scrutin non contesté"
"Mme FAURE Fabienne","23 355/23 024","24 000/23 669","0/0","0/0","0/0","0/0","24 000/23 669","645/645","0","23 024","AR","Ain - 3","66 609","33 305 €","Scrutin non contesté"
"Mme FAVRE Maryse","0","0","0","0","0","0","0","0","0","0","A","Ain - 3","66 609","33 305 €","Scrutin non contesté"
"Mme FRANQUET Christine","1 795","1 795","240","0","0","0","1 555","0","0","0","R","Ain - 3","66 609","33 305 €","Scrutin non contesté"
"Mme GOUTAILLER Dolores","267","432","0","418","14","0","0","165","165","0","A","Ain - 3","66 609","33 305 €","Scrutin non contesté"
"M. JUSTON Maurice","0","0","0","0","0","0","0","0","0","0","A","Ain - 3","66 609","33 305 €","Scrutin non contesté"
"M. MARMORAT Jacques",,,,,,,,,"0","0","AD","Ain - 3","66 609","33 305 €","Scrutin non contesté"
"Mme RIGAUD Françoise","35 911","39 775","1 250","3 507","4 326","32","30 660","3 864","0","26 796","A","Ain - 3","66 609","33 305 €","Scrutin non contesté"
"M. VIRARD Philippe","2 393","2 635","85","0","0","0","2 550","242","0","0","HD","Ain - 3","66 609","33 305 €","Scrutin non contesté"
"M. WYSSA Olivier","28 785","33 000","0","0","0","0","33 000","4 215","0","0","A","Ain - 3","66 609","33 305 €","Scrutin non contesté"
"Mme BURGAT Jacqueline","952/906","952/906","150/150","0/0","0/0","0/0","802/756","0/0","0","0","AR","Ain - 4","69 832","34 917 €","Scrutin non contesté"
"M. CORMORECHE Pierre","4 245/4 202","4 456/4 413","280/280","0/0","0/0","0/0","4 176/4 133","211/211","0","3 922","AR","Ain - 4","69 832","34 917 €","Scrutin non contesté"
"M .   D E   L A C H E I S S E R I EJean-Loup","28 933/28 632","34 744/34 443","0/0","0/0","0/0","0/0","34 744/34 443","5 811/5 811","0","28 632","AR","Ain - 4","69 832","34 917 €","Scrutin non contesté"
"Mme DRACOS Électre","270","434","0","423","11","0","0","164","164","0","A","Ain - 4","69 832","34 917 €","Scrutin non contesté"
"M. GREFFET Christophe","53 323/50 931","53 323/50 931","21 495/21 495","1 547/1 547","1 972/1 972","0/0","28 309/25 917","0/0","0","25 917","AR","Ain - 4","69 832","34 917 €","Scrutin non contesté"
"M. LE MAOUT Hérvé","9 378","9 378","313","0","753","0","8 312","0","0","0","A","Ain - 4","69 832","34 917 €","Scrutin non contesté"
"Mme MANDRAS Marie-Fran-çoise","0","0","0","0","0","0","0","0","0","0","A","Ain - 4","69 832","34 917 €","Scrutin non contesté"
"Mme MICHAUD Christel","0","0","0","0","0","0","0","0","0","0","A","Ain - 4","69 832","34 917 €","Scrutin non contesté"
"M. MONTESSUIT Claude","2 595/2 464/2 435","4 087/4 087","3 580/3 580","500/500","0/0","0/0","7/7/0","1 492/1 623","1 645","0","AR","Ain - 4","69 832","34 917 €","Scrutin non contesté"
"Mme VACLE Catherine","1 220","1 220","1 151","0","69","0","0","0","0","0","A","Ain - 4","69 832","34 917 €","Scrutin non contesté"
"M. VOISIN Michel","39 655/39 604","39 655/39 604","2 485/2 485","9 700/9 700","0/0","0/0","27 470/27 419","0/0","0","27 419","AR","Ain - 4","69 832","34 917 €","Scrutin non contesté"
"Mme ARRIBAS Catherine","370","370","0","317","0","0","53","0","0","0","A","Aisne - 1","62 811","31 406 €","Scrutin non contesté"
"Mme BIBAUT Louisette","0","0","0","0","0","0","0","0","0","0","A","Aisne - 1","62 811","31 406 €","Scrutin non contesté"
"Mme BLANCHARD-DOUCHAINGaëdic","41 095/40 668","41 095/40 668","8 345/8 345","10 700/10 700","756/756","0/0","21 294/20 867","0/0","0","20 867","AR","Aisne - 1","62 811","31 406 €","Scrutin non contesté"
"Mme BRUNET Claudine","7 356/2 056","7 356/6 360","1 355/1 355","5 005/5 005","0/0","0/0","996/0","0/4 304","0","0","AR","Aisne - 1","62 811","31 406 €","Scrutin non contesté"
"M. DELHAYE Eric","12 807/12 747","12 807/12 747","9 260/9 260","0/0","0/0","0/0","3 547/3 487","0/0","0","0","AR","Aisne - 1","62 811","31 406 €","Scrutin non contesté"
"M. DOSIERE René","49 851/49 438","49 851/49 438","14 000/14 000","0/0","1 262/1 262","0/0","34 589/34 176","0/0","0","31 406","AR","Aisne - 1","62 811","31 406 €","Scrutin non contesté"
"M. HANSEN-CATTA Paul-henry","2 371","2 371","305","1 034","0","0","1 032","0","0","0","A","Aisne - 1","62 811","31 406 €","Scrutin non contesté"
"M. KARIMET Fawaz","28 714/27 854","28 714/27 854","7 105/7 105","900/900","0/0","0/0","20 709/19 849","0/0","0","19 849","AR","Aisne - 1","62 811","31 406 €","Scrutin non contesté"
"Mlle LAFFIAC Marie-Claude","24","24","0","15","9","0","0","0","0","0","A","Aisne - 1","62 811","31 406 €","Scrutin non contesté"
"Mme LEGRAS ÉPOUSE CHAS-SEPOUX Sylvie","0","0","0","0","0","0","0","0","0","0","A","Aisne - 1","62 811","31 406 €","Scrutin non contesté"
"M. MATIS Pascal","0","0","0","0","0","0","0","0","0","0","A","Aisne - 1","62 811","31 406 €","Scrutin non contesté"
"M. PERNELLE Jean-Loup","330","330","0","302","28","0","0","0","0","0","A","Aisne - 1","62 811","31 406 €","Scrutin non contesté"
"M. ROUX Jean-Louis","31 320","31 320","0","0","0","0","31 320","0","0","31 320","A","Aisne - 1","62 811","31 406 €","Scrutin non contesté"
