"candidat","depensestotales","recettestotales","dons","appartspartis","concoursnature","autres","perso","soldescompte","DEV","RFE","DECCNCCFP"
,,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Ain - 1</i>","<i>Département : Ain </i>",,"<i>er</i>",,,,,
"Plafond de dépenses : 65 509","€",,,,,,,,,,
"Remboursement maximum : 32 755",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. AVINIERE Pierre","687","687","0","0","0","0","687","0","0","0","A"
"M. BRETON Xavier","41 760
32 848","41 760
35 376","24 881
24 881","9 700
9 700","0
0","795
795","6 384
0","0
2 528","2 528","0","AR"
"Mme CATHERIN Marie-Lucienne","33 017","33 017","0","0","0","0","33 017","0","0","0","A"
"M. DEBAT Jean-François","59 640","59 640","21 400","2 842","1 076","1","34 321","0","0","32 755","A"
"Mme DUTHU Monique","1 212","1 212","190","0","0","0","1 022","0","0","0","A"
"M. FAVRE Bernard","0","0","0","0","0","0","0","0","0","0","A"
"M. FLECHON Jacques","442","442","370","0","0","0","72","0","0","0","A"
"Mme GUENARD-GERBAUD",,,,,,,,,,,
"Carole","1 639","1 639","956","183","0","0","500","0","0","0","A"
"Mme HURET Odile","0","0","0","0","0","0","0","0","0","0","A"
"M. LAHY Eric","303","445","0","418","27","0","0","142","142","0","A"
"M. PARIOT Marc","12 952
15 245","12 952
15 245","630
630","0
0","0
2 293","0
0","12 322
12 322","0
0","0","12 322","AR"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"6","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DU 10 JUIN 2007",,,"<i>Département : Ain </i>
<i>Circoncription : Ain - 2</i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 68 612","€",,,,,,,,,,
"Remboursement maximum : 34 307",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. CAGNAC Jacques","1 362","1 362","300","0","0","0","1 062","0","0","0","A"
"M. CHAVET Raoul","557","557","467","0","0","0","90","0","0","0","A"
"M. DAGAND Yves","912","912","0","912","0","0","0","0","0","0","A"
"M. VERPILLIÈRE (DE) LA Charles","24 350
22 182","24 918
24 915","15 215
15 215","9 700
9 700","0
0","0
0","3
0","568
2 733","2 733","0","AR"
"Mme LACHEISSERIE (DE) Nicole","33 998","34 000","0","0","0","0","34 000","2","0","33 998","A"
"M. FERRARESE Pierre","2 459","2 459","0","1 500","0","0","959","0","0","959","A"
"M. FRAY DIT BRY Michel","0","0","0","0","0","0","0","0","0","0","A"
"M. LARGERON Guy","308
308","463
308","0
0","420
265","43
43","0
0","0
0","155
0","0","0","AR"
"M. LEGER Bernard","0","0","0","0","0","0","0","0","0","0","A"
"Mme MEUNIER Marie-Lise","0","0","0","0","0","0","0","0","0","0","A"
"M. PHILIPPE Katia","1 924
1 796","1 924
1 796","20
20","0
0","0
0","0
0","1 904
1 776","0
0","0","0","AR"
"Mme PIDOUX Catherine","18 767
17 970","18 767
17 970","735
735","0
0","3 614
3 614","38
38","14 380
13 583","0
0","0","13 583","AR"
"M. SÉGURET Jean-Louis","0","0","0","0","0","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Ain - 3</i>","<i>Département : Ain </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 66 609","€",,,,,,,,,,
"Remboursement maximum : 33 305",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mlle ALBERT Emilie","0","0","0","0","0","0","0","0","0","0","A"
"M. BAILLY Luc","15","15","0","15","0","0","0","0","0","0","A"
"M. BLANC Etienne","49 428","61 449","24 749","9 700","0","0","27 000","12 021","0","14 979","A"
"Mme FAURE Fabienne","23 355
23 024","24 000
23 669","0
0","0
0","0
0","0
0","24 000
23 669","645
645","0","23 024","AR"
"Mme FAVRE Maryse","0","0","0","0","0","0","0","0","0","0","A"
