"Candidat", "Dépenses totales", "Recettes totales", "Dons", "Apports partis", "Concours en nature", "Autres", "Apports personnel", "Soldes compte de campagne", "Dév (1)", "RFE (2)", "Déc. CNCCFP", "Circoncription", "Plafond de dépenses", "Remboursement maximum"
"M. AVINIERE Pierre","687","687","0","0","0","0","687","0","0","0","A","Ain - 1","65 509 €","32 755 €"
"Mme CATHERIN Marie-Lucienne","33 017","33 017","0","0","0","0","33 017","0","0","0","A","Ain - 1","65 509 €","32 755 €"
"M. DEBAT Jean-François","59 640","59 640","21 400","2 842","1 076","1","34 321","0","0","32 755","A","Ain - 1","65 509 €","32 755 €"
"Mme DUTHU Monique","1 212","1 212","190","0","0","0","1 022","0","0","0","A","Ain - 1","65 509 €","32 755 €"
"M. FAVRE Bernard","0","0","0","0","0","0","0","0","0","0","A","Ain - 1","65 509 €","32 755 €"
"M. FLECHON Jacques","442","442","370","0","0","0","72","0","0","0","A","Ain - 1","65 509 €","32 755 €"
"Carole","1 639","1 639","956","183","0","0","500","0","0","0","A","Ain - 1","65 509 €","32 755 €"
"Mme HURET Odile","0","0","0","0","0","0","0","0","0","0","A","Ain - 1","65 509 €","32 755 €"
"M. LAHY Eric","303","445","0","418","27","0","0","142","142","0","A","Ain - 1","65 509 €","32 755 €"
"M. CAGNAC Jacques","1 362","1 362","300","0","0","0","1 062","0","0","0","A","Ain - 2","68 612 €","34 307 €"
"M. CHAVET Raoul","557","557","467","0","0","0","90","0","0","0","A","Ain - 2","68 612 €","34 307 €"
"M. DAGAND Yves","912","912","0","912","0","0","0","0","0","0","A","Ain - 2","68 612 €","34 307 €"
"Mme LACHEISSERIE (DE) Nicole","33 998","34 000","0","0","0","0","34 000","2","0","33 998","A","Ain - 2","68 612 €","34 307 €"
"M. FERRARESE Pierre","2 459","2 459","0","1 500","0","0","959","0","0","959","A","Ain - 2","68 612 €","34 307 €"
"M. FRAY DIT BRY Michel","0","0","0","0","0","0","0","0","0","0","A","Ain - 2","68 612 €","34 307 €"
"M. LEGER Bernard","0","0","0","0","0","0","0","0","0","0","A","Ain - 2","68 612 €","34 307 €"
"Mme MEUNIER Marie-Lise","0","0","0","0","0","0","0","0","0","0","A","Ain - 2","68 612 €","34 307 €"
"M. SÉGURET Jean-Louis","0","0","0","0","0","0","0","0","0","0","A","Ain - 2","68 612 €","34 307 €"
"Mlle ALBERT Emilie","0","0","0","0","0","0","0","0","0","0","A","Ain - 3","66 609 €","33 305 €"
"M. BAILLY Luc","15","15","0","15","0","0","0","0","0","0","A","Ain - 3","66 609 €","33 305 €"
